repo_id,full_name,stars,created_at,pushed_at,license_spdx,license_stratum,language,homepage,class_label,signal_type,has_repo_robots,repo_robots_blocks_all,repo_robots_blocks_ai_count,has_homepage_robots,homepage_robots_blocks_all,homepage_robots_blocks_ai_count,has_llms_txt,tdm_reservation_header,x_robots_noai,readme_opt_out_count,readme_opt_in_count,license_opt_out_count,license_opt_in_count
11407242,cookiecutter/cookiecutter,24980,2013-07-14T18:31:22Z,2026-04-01T17:46:44Z,BSD-3-Clause,permissive,Python,https://pypi.org/project/cookiecutter/,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
155662306,trekhleb/homemade-machine-learning,24634,2018-11-01T04:34:19Z,2025-11-23T04:22:46Z,MIT,permissive,Jupyter Notebook,,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
91948540,ranaroussi/yfinance,24500,2017-05-21T10:16:15Z,2026-06-28T18:13:46Z,Apache-2.0,permissive,Python,https://ranaroussi.github.io/yfinance,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
138552196,nautechsystems/nautilus_trader,24371,2018-06-25T06:26:16Z,2026-07-02T12:22:10Z,LGPL-3.0,copyleft,Rust,https://nautilustrader.io,OPT_IN,llms.txt present at homepage,False,False,0,True,False,0,True,False,False,0,0,0,0
83516498,norvig/pytudes,24362,2017-03-01T05:43:35Z,2026-06-26T17:27:39Z,MIT,permissive,Jupyter Notebook,,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
33702544,plotly/dash,24286,2015-04-10T01:53:08Z,2026-07-02T14:33:59Z,MIT,permissive,Python,https://plotly.com/dash,OPT_IN,llms.txt present at homepage,False,False,0,True,False,0,True,False,False,0,0,0,0
65711522,PaddlePaddle/Paddle,24005,2016-08-15T06:59:08Z,2026-07-02T11:43:24Z,Apache-2.0,permissive,C++,http://www.paddlepaddle.org/,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
100401612,Delgan/loguru,23996,2017-08-15T17:22:32Z,2026-07-01T14:11:29Z,MIT,permissive,Python,https://loguru.readthedocs.io,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
317029148,lukasmasuch/best-of-ml-python,23654,2020-11-29T19:41:36Z,2026-07-02T14:49:03Z,CC-BY-SA-4.0,other,,https://ml-python.best-of.org,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
286500101,danielgatis/rembg,23552,2020-08-10T14:38:24Z,2026-06-03T13:26:10Z,MIT,permissive,Python,,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
317319347,qeeqbox/social-analyzer,23344,2020-11-30T19:04:26Z,2026-01-12T21:50:25Z,AGPL-3.0,copyleft,JavaScript,,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
